Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Company_Name
Maruti Wagon R LXI,Mumbai,2010,72000,CNG,Manual,First,26.6,998,58.16,5.0,1.75,Maruti
Hyundai Creta 1.6 CRDi,Pune,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5.0,12.5,Hyundai
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5.0,4.5,Honda
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7.0,6.0,Maruti
Audi A4 New 2.0,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5.0,17.74,Audi
Hyundai EON LPG Era,Hyderabad,2012,75000,LPG,Manual,First,21.1,814,55.2,5.0,2.35,Hyundai
Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5.0,3.5,Nissan
Toyota Innova Crysta 2.8,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8.0,17.5,Toyota
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5.0,5.2,Volkswagen
Tata Indica Vista Quadrajet,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,74.0,5.0,1.95,Tata
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5.0,9.95,Maruti
Honda City 1.5 V,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5.0,4.49,Honda
Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,74.0,5.0,5.6,Maruti
Land Rover Range Rover,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5.0,27.0,Land
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7.0,15.0,Mitsubishi
Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5.0,5.4,Honda
Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,74.0,5.0,5.99,Maruti
Renault Duster 85PS Diesel,Kochi,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5.0,6.34,Renault
Mercedes-Benz New C-Class C,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5.0,28.0,Mercedes-Benz
BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190.0,5.0,18.55,BMW
